,n,p,,gi_c_gate_num,gi_c_fidelity,ro_c_gate_num,ro_c_fidelity,gi_opt3_c_gate_num,gi_opt3_c_fidelity
0,3,1,sabre,242,0.34710889,310,0.271487813,288,0.334947968
1,3,1,HA,173,0.355526677,262,0.329045111,150,0.452721019
2,3,1,MCPE,191,0.088520078,295,0.246927627,120,0.094751837
3,3,1,MCPE_opt,191,0.088608555,334,0.217507014,120,0.106357374
4,3,2,sabre,658,0.405922278,668,0.439873257,426,0.418002184
5,3,2,HA,358,0.458827291,569,0.410382523,258,0.47312615
6,3,2,MCPE,364,0.579643741,596,0.480512135,240,0.596572507
7,3,2,MCPE_opt,364,0.582614377,644,0.466084587,240,0.588375746
8,3,3,sabre,861,0.392505605,912,0.348581134,519,0.392167092
9,3,3,HA,579,0.402950732,834,0.373470578,318,0.544054194
10,3,3,MCPE,552,0.2214664,963,0.323299553,360,0.201103047
11,3,3,MCPE_opt,552,0.224139359,915,0.338772686,360,0.239988128
