,,p,gi_opt1_c_fidelity,gi_opt1_c_duration,gi_opt2_c_fidelity,gi_opt2_c_duration,gi_opt3_c_fidelity,gi_opt3_c_duration
0,2,1,0.432617188,1.563250065,0.41015625,1.128210068,0.420898438,1.239100218
1,2,2,0.397460938,1.66255331,0.368164063,1.42402029,0.3828125,1.216498852
2,2,3,0.463867188,1.671167374,0.462890625,1.344053268,0.374023437,1.3341012
3,2,4,0.348632813,1.735032797,0.381835938,1.424105883,0.393554687,1.453818798
4,2,5,0.311523438,1.764018536,0.31640625,1.52320385,0.296875,1.346513033
5,3,1,0.189453125,1.805860519,0.209960938,1.502038002,0.227539063,1.335104942
6,3,2,0.16796875,2.29319787,0.18359375,1.695124388,0.176757813,1.605567694
7,3,3,0.129882813,2.73709631,0.153320313,2.031976223,0.116210938,2.153203964
8,3,4,0.140625,2.932469368,0.12890625,2.389463663,0.142578125,2.081952095
9,3,5,0.11328125,3.365609884,0.124023438,2.487203598,0.137695313,2.28213954
10,4,1,0.052734375,2.878300905,0.057617188,2.086797714,0.114257813,1.505338192
11,4,2,0.075195313,4.215289354,0.094726563,3.014199734,0.057617188,1.952177048
12,4,3,0.036132812,5.047693014,0.081054688,3.948205948,0.071289063,2.472092867
13,4,4,0.057617188,5.997582436,0.057617188,4.510240555,0.071289063,3.323215485
14,4,5,0.051757813,7.984775543,0.057617188,5.590934515,0.053710938,4.048140526
