,,p,gi_c_fidelity,gi_c_duration,ro_c_fidelity,ro_c_duration,gi_opt_c_fidelity,gi_opt_c_duration
0,2,1,0.380859375,1.071140051,0.416992188,0.738219023,0.427734375,0.793263674
1,2,2,0.380859375,1.070803165,0.42578125,0.906722784,0.370117188,0.769142866
2,2,3,0.594726563,1.10398078,0.44921875,0.913294554,0.43359375,0.768213749
3,3,1,0.17578125,1.306497097,0.234375,1.110486507,0.254882812,0.927946329
4,3,2,0.1953125,1.440923691,0.178710938,1.566079855,0.193359375,0.945670128
5,3,3,0.119140625,1.703407764,0.125,2.058081627,0.116210938,1.0760355
6,4,1,0.061523438,1.637119293,0.020507812,3.13822341,0.12109375,1.017057896
7,4,2,0.057617188,2.040932655,0.137695313,5.542274237,0.079101563,1.257179499
8,4,3,0.041992188,2.619703531,0.046875,7.827210426,0.046875,1.955888271
9,5,1,0.046875,8.255287409,0.028320313,13.77802134,0.0234375,1.520078421
10,5,2,0.044921875,144.2425685,0.041992188,26.72645593,0.059570312,2.704718113
11,5,3,0.015625,203.0791211,0.0078125,38.98501515,0.01171875,3.782213449
12,6,1,0.006835938,367.609375,0.018554688,87.16383505,0.010742187,5.492047071
13,6,2,0.01171875,679.2936251,0.016601563,171.605269,0.01171875,154.8457413
14,6,3,0.009765625,1299.009887,0.017578125,258.1790338,0.015625,227.5588892
15,7,1,0.010742187,490.1779623,0.004882812,486.5501778,0.00390625,110.3935447
16,7,2,0.021484375,851.7653909,0.026367188,905.9816206,0.01953125,205.9242871
17,7,3,0.006835938,1620.479281,0.004882812,1347.339456,0.001953125,324.5397456
