,n,,gi_c_fidelity,gi_c_duration,ro_c_fidelity,ro_c_duration,gi_opt_c_fidelity,gi_opt_c_duration
0,2,1,0.435546875,1.610447168,0.4140625,1.203024626,0.434570313,1.348104715
1,2,2,0.40234375,1.669836044,0.428710938,1.369643688,0.32421875,1.222090483
2,2,3,0.448242188,1.806134701,0.442382813,1.456277847,0.434570313,1.376101494
3,2,4,0.389648438,1.955840826,0.361328125,1.39604497,0.42578125,1.595201254
4,2,5,0.33203125,1.904789448,0.325195313,1.547067881,0.231445313,1.363428593
5,3,1,0.202148438,1.79668808,0.16796875,1.815149069,0.221679687,1.472732782
6,3,2,0.158203125,2.262866497,0.100585938,2.661525011,0.150390625,1.777920961
7,3,3,0.100585938,2.611641169,0.120117188,3.123991966,0.153320313,1.655078173
8,3,4,0.133789063,2.991528749,0.16796875,3.921810389,0.12109375,2.115223646
9,3,5,0.141601563,3.473873138,0.103515625,4.730940819,0.12890625,2.437302351
10,4,1,0.049804688,2.807601929,0.021484375,4.909650803,0.150390625,1.757036448
11,4,2,0.071289063,3.514108419,0.051757813,8.552708149,0.05859375,2.307005644
12,4,3,0.0546875,4.245406628,0.024414063,13.23228168,0.049804688,3.172026157
13,4,4,0.055664063,5.472645283,0.049804688,16.74771452,0.076171875,3.358105659
14,4,5,0.060546875,6.157681465,0.028320313,22.46678066,0.075195313,3.801292181
